id,external_source,name,alias,description,difficulty,meal_type,cuisine,dietary_tags,servings,prep_time,cook_time,calories_per_serving,protein,instructions,image_url,local_image,enabled,verified,verification_status,confidence_score
100000,manual,Jollof Rice,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/gefe3ddbe4976dd14944c5ed354211af08b9e345f1cbb3aaa090de0e50c28eebc29ac76c6217f61aaf8d50eb4164bd8c54f4284b06127e6a04bb3663f453676ab_640.jpg,food_dataset_v2\recipe_images\100000_jollof_rice.jpg,True,True,AUTO_IMPORTED,0.95
100001,manual,Egusi Soup,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g4b47d80252a1ee268b981d95fa856da9b0e409ad0382ac9e7ad5772fc66ca94753e9bb9267f681ea4a19c3be39d92a62_640.jpg,food_dataset_v2\recipe_images\100001_egusi_soup.jpg,True,True,AUTO_IMPORTED,0.95
100002,manual,Fufu,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g88e27050287d573e252747ef7025362b662bd0bdb958ee03e7945d0a2f7154c9489a8a4bb0f679a8569d6f1f422af1057c95f259dc1238da0c2014c70dfe90d9_640.jpg,food_dataset_v2\recipe_images\100002_fufu.jpg,True,True,AUTO_IMPORTED,0.95
100003,manual,Pounded Yam,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g2cc0042ab6f0c9abec461395e93455659d8bf0bc822fa896e3cb0368d41c9526a7999908e46c631afb592c5727a560745dbb0033bb6f18d01ad110e694c740f7_640.jpg,food_dataset_v2\recipe_images\100003_pounded_yam.jpg,True,True,AUTO_IMPORTED,0.95
100004,manual,Eba,,,medium,main,african,,4,30,30,,,,,,True,True,AUTO_IMPORTED,0.95
100005,manual,Amala,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g9c9ef7623e992725d285bc5b20d8ffff0693a31b536f09f4447a0186998f173b26af3a659a5fee309d5c61288ef515ea_640.jpg,food_dataset_v2\recipe_images\100005_amala.jpg,True,True,AUTO_IMPORTED,0.95
100006,manual,Suya,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g75f1993c570f56c7d9b917cbd5a6eba81787f18926ce954eff10b41ae275b61f58096877e5e9c6ed125d3d194206ca1262a4dc8063120b49b066ce47d530c9e1_640.jpg,food_dataset_v2\recipe_images\100006_suya.jpg,True,True,AUTO_IMPORTED,0.95
100007,manual,Puff Puff,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g639daa19a35697d803fad32ea5b0f78e7ef99fcd55269addf2c6784ce62349f35230a8d39a485cefee9097f3b3d7db02d80499c0d84ffc87ac8362f6217742fd_640.jpg,food_dataset_v2\recipe_images\100007_puff_puff.jpg,True,True,AUTO_IMPORTED,0.95
100008,manual,Moi Moi,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g5ff0d7f5eb9e24de442af0b35afecddfbc29993ee176a2f628e5b1b3d2c3419152fdb9a038c80764502d2960e8c0fb01_640.jpg,food_dataset_v2\recipe_images\100008_moi_moi.jpg,True,True,AUTO_IMPORTED,0.95
100009,manual,Akara,,,medium,main,african,,4,30,30,,,,https://pixabay.com/get/g5b05bcafe0cb4bd22b20f69d2f3eba2bcffa251401469ff39a1968165c49887a27e7900b3cd06a4d1c6289620ee69bbf5b78991c0749330cc2089ac98ef95e0e_640.jpg,food_dataset_v2\recipe_images\100009_akara.jpg,True,True,AUTO_IMPORTED,0.95
